Timestamp,Channel,Message Text,Message Link
2025-03-17 01:56:22,WAX NFT DROPS,"#TON

Вышли очередные плохие подарки 🥲🥲🥲 

*Вышли на непонятный праздник, зачем выпускать непонятно. Будете покупать или скип?",https://t.me/c/1373214233/3486
2025-03-17 01:00:06,Тим идёт к бычке,"**😍**** Новые апдейты по **[**DRFT Party**](https://t.me/drft_party_bot/game?startapp=6297900566)**

Недавно **[**писал**](https://t.me/drft_party_bot/game?startapp=6297900566)** о проекте и как стоит фармить в их апке. Выкатили новую обнову, в которой добавили **[**GAS STATION**](https://t.me/drft_party_bot/game?startapp=6297900566)** и пару апдейтов. Хочу вам рассказать за ценные активы в игрушке и что они значат сейчас.

****🧑‍💻**** Очки **[**RESPECT:**](https://t.me/drft_party_bot/game?startapp=6297900566)**

****1️⃣**** Фарм зависит от уровня машины и кол-ва их на поле
****2️⃣**** Используются для покупки новых машин
****3️⃣**** Можно включить Boost для лучшего заработка

****🧑‍💻**** Токен **[**DRFT:**](https://t.me/drft_party_bot/game?startapp=6297900566)**

****1️⃣**** Ваш фарм зависит от макс уровня **[**автомобиля,**](https://t.me/drft_party_bot/game?startapp=6297900566)** кол-ва билетов, улучшений в майнинге и NFT
****2️⃣**** Владельцы NFT получают бонус к доходу **[**DRFT**](https://t.me/drft_party_bot/game?startapp=6297900566)**
****3️⃣**** Можно улучшать майнинг и покупать контейнеры с нитро

****💬**** Команда уже скоро обещает новые апдейты и обновы в **[**апке.**](https://t.me/drft_party_bot/game?startapp=6297900566)** Не забываем фармить монетки и заполнять комбо каждый день!)

**[**Тим идёт к бычке**](https://t.me/+rVWjBNZChKgxZDUy)** | **[**Чат**](https://t.me/+esP9CaV098gzNTEy)",https://t.me/c/1590083993/9348
2025-03-17 00:17:39,CryptoNick - Выносим профит,"**🔥**** Что делать, когда другие отдыхают?**

Я хз, по какой причине, мб из-за отсутствия годных активностей в пабликах или с неопределенностью на рынке, но мне за последнее время всё чаще прилетают запросы на вступление в Hunting Camp...

Только благодаря вашим сообщениям и активу я сейчас решил спустя полтора месяца после нашего сбора внось открыть Hunting Camp!

Вот только сейчас попадать туда будут только те, кто действительно заинтересован расти и зарабатывать бабки!



✅ **Я вам напомню, что основная цель Hunting Camp - это собрать самое масштабное и большое комьюнити в крипте! **
Где вы будете не просто воркать и находиться вкурсе всех самых годных активностей, но и:

     •   Попадете в круг общения людей, которые ебашат и растут помогая друг другу, тем самым наконец настроите своё инфополе и круг общения

     •   Приобретете новые связи и знакомства __(увы, но в нашем мире сейчас решают всё именно связи + бабки)__



**🤚**** Ну и конечно же, на постоянке:**

     •   Я со своей командой буду делиться своим мнением, касаемо работы и показывать то, ЧТО ДЕЛАЮ САМ! __(это самый жир)__

     •   Регулярные СТРИМЫ и АМА-сессии по обсуждению проектов и рынка в целом!

     •   А так же у нас будет ЧАТ, в котором мы будем находиться ВСЕ вместе и выносить каждый из проектов ВМЕСТЕ!

     •   В этом же чате, Я со СВОЕЙ командой буду помогать по каждому вопросу, КАЖДОМУ из ВАС


[
](https://docs.google.com/forms/d/e/1FAIpQLScEiVinmX7Mtp9StIJWmUe2XURSYBNUn4ys5fzvRQMZiUQn2g/viewform?usp=sf_link)Для вступления заполняем [ФОРМУ](https://docs.google.com/forms/d/e/1FAIpQLScEiVinmX7Mtp9StIJWmUe2XURSYBNUn4ys5fzvRQMZiUQn2g/viewform?usp=sf_link)

    🟠 __Стоимость входа - **15$ ежемесячно**__ __ (по оплате писать мне: ____@found_er____ )__

**Дедлайн набора:** 23 марта


🤨 **Что ты хочешь еще услышать?** 
__Задавай свои вопросы в __[__нашем чате__](https://t.me/+vbJ07nQJtTQ4ODli)__ и я отвечу каждому из вас__

Моя задача, это собрать САМОЕ МАСШТАБНОЕ и СИЛЬНОЕ сообщество в СНГ и я это сделаю! В будущем есть огромные планы, включая офлайн встречи всех участников на отдыхе и проведение совместного отдыха и работы вместе, жду тебя в **Hunting Camp!**

**Всем профита! ****💸**",https://t.me/c/1402537397/1392
2025-03-17 00:00:06,Тим идёт к бычке,"**📞**** Общаемся с ИИ и фармим дроп от Hyperbolic

**[**Hyperbolic**](https://x.com/hyperbolic_labs)** - это облачная платформа ИИ, которая объединяет вычислительные ресурсы для предоставления ресурсов GPU и услуг ИИ. Привлекли $19.7млн **[**инвеста**](https://cryptorank.io/ru/price/hyperbolic-labs)** от Polychain Capital, Balaji Srinivasan, Santiago R. Santos и др.
Можно начать активничать на платформе, в которой можно общаться с ИИ (делать картинки, аудио, текст). В будущем пишут будет тестнет, поэтому эти активности считаються ранними.

****🧑‍💻**** Что делать?

****1️⃣**** Идем на **[**сайт,**](https://app.hyperbolic.xyz/)** создаем аккаунт и сохраняем API KEY
****2️⃣**** Жмем на Deposit и пополняем балик
****3️⃣**** Переходим **[**сюда**](https://app.hyperbolic.xyz/models)** и активничаем с Ai моделями
****4️⃣**** Активничаем в **[**Discord**](http://discord.gg/hyperbolic)**
****5️⃣**** Каждую неделю заполняем **[**форму**](https://forms.gle/kb2pxKPzsRfgQqsj7)**

****💬**** Как я понимаю, в будущем это будет сервер нода, которая еще и работает с ИИ. Такие проекты сейчас на биг хайпе, а значит раздать вполне могут. Инвест хороший  от топ фондов, так что скипать глупо.

****📆**** Дедлайн: TBA

**[**Тим идёт к бычке**](https://t.me/+rVWjBNZChKgxZDUy)** | **[**Чат**](https://t.me/+esP9CaV098gzNTEy)",https://t.me/c/1590083993/9347
2025-03-16 23:33:26,Tom Capital,"⚡️кит открыл второй шорт 

Теперь на ETH, вход 1900, 25х плечо, 41 лям, цена ликвидации 2400

В сумме кит шортит почти на пол миллиарда долларов",https://t.me/c/1408008774/7152
2025-03-16 23:20:50,"CRYPTON | Биткоин, DeFi, WEB 3","🎙 **Будущее Биткойна, DEX-трейдинг и тестнет с наградами — разбор недели!**
#НеделяКриптана

✅ Сегодня в выпуске:

▸ Биткойн на грани — **ждём 70K или резкий рост?**

▸ Майнеры и розница продают $BTC — **сигнал к падению или началу роста?** 

▸ Как **Hyperliquid потерял $4 млн** на ките с х50 плечом?

————————————————————————

**Дополнительные материалы подкаста:**

◽️ [**Тестнет 0G Labs**](https://t.me/crypton_off/15018) — за 5 минут в числе первых!

✅** **[**Crypton Tools**](https://tools.crypton.xyz/dapps/dex?filter=recommended) — твой помощник в поиске надёжных DEX.

————————————————————————

Слушайте нас на ваших любимых платформах: 🎵 [**Яндекс Музыка**](https://music.yandex.ru/album/28181366?activeTab=about), 🎵 [**Spotify**](https://open.spotify.com/show/1aZo1tP5LN0QHTrZ53gOpa),💸 [**Apple Music**](https://podcasts.apple.com/ru/podcast/crypton/id1752117460) и 📹 [**Youtube Music**](https://music.youtube.com/playlist?list=PLhH22o-YYosa3xDHcEGjLD4opposlvStX)!

[**Зарабатываем вместе**](https://crypton.xyz/news1)** | **[**Обменник**](https://t.me/exchange_crypton_bot)** | **[**Экосистема Crypton**](https://crypton.xyz/news)",https://t.me/c/1307909848/15029
2025-03-16 23:17:35,Dreamer,"**Вечерний**[ ](https://img4.teletype.in/files/f3/22/f32206b5-34c5-4d8a-9734-aff0fa1372dd.jpeg)**дайджест** 👍

**➡️** **Выполняем квесты от Avalon **

[Avalon](https://x.com/AVALON) официально [запустили систему квестов](https://x.com/AVALON/status/1900639791441428501), за выполнение которых, ранние пользователи получат по 1,5к поинтов.

**Активности:**
**🔹**Переходим по [ссылке](https://quests.avalon.online/) и регистрируем свой аккаунт;
**🔹**Подключаем необходимые соц-сети и выполняем предложенные квесты, так же не забываем каждый день делать ""Daily Check-in"".

**➡️** **Финальный чекер дропа от Mantra**

[Mantra](https://x.com/MANTRA_Chain) выпустили [апдейт](https://www.mantrachain.io/resources/announcements/community-update-om-gendrop) по чекеру дропа. На дроп выделено 10% токенов $OM.

**Активности:**
**🔹**Переходим по [ссылке](https://checker.mantra.zone/) и проверяем сколько вам полагается в качестве награды.
**🔹**Если не согласны с распределением то обращаемся в [Discord](https://discord.com/invite/mantrachain) проекта.
**
****💳**** Старт клейма токенов: 18 марта**

**➡️** **Фармим Symbiotic поинты**

На днях появилась новость о том, что на DEX [Curve](https://x.com/CurveFinance) стал доступен фарм [Symbiotic-поинтов](https://x.com/levelusd/status/1899909991362187512) с бустом 40x в парах $lvlUSD/$USDC и $slvlUSD/$lvlUSD.

**Активности:**
**🔹**Переходим на [страницу](https://curve.fi/dex/ethereum/pools/factory-twocrypto-102/deposit/https://curve.fi/dex/ethereum/pools/factory-twocrypto-102/deposit/) и предоставляем ликвидность в [пулы](https://curve.fi/dex/ethereum/pools/factory-twocrypto-102/deposit/https:/curve.fi/dex/ethereum/pools/factory-twocrypto-102/deposit/);
**🔹**Также был добавлен новый пул на [Superform](https://www.superform.xyz/vault/-k7zE-aV7KLE5SGorC_Lc/).

**➡️** **Чекер дропа ****$BR**** от Bedrock**

[Bedrock](https://x.com/Bedrock_DeFi)[ представили](https://x.com/Bedrock_DeFi/status/1901201572841017458) чекер дропа $BR. Всего кошельков со статусом ""Eligible"" - около 200к. На Airdrop выделено около 5,5% без вестинга на TGE. Больше информации можете изучить по [ссылке](https://x.com/Bedrock_DeFi/status/1901201572841017458).

**Активности:**
**🔹**Переходим по [ссылке](http://claim.bedrockdao.com/) и проверяем аллокацию.

**Dream and Work ****🚀**

[**Dreamer**](https://t.me/DreamerCrypt) | [Chat |](https://t.me/dreamerchatx) [YouTube](https://youtube.com/@dreamercrypt)",https://t.me/c/1401545872/3785
2025-03-16 23:04:59,Crypto Fortochka,"**Nillion, 0G Labs, Shardeum, Mantra уже в прошлом**

Все перечисленные проекты уже на стадии выхода, ноды можно выключать, осталось лишь ждать кнопку ""**Claim**""


🖤**Что дальше? Это конец? Ноды закончились? На пенсию?** — Проектов много, и их становится все больше, несмотря на рынок. Ноды были и остаются актуальным направлением, особенно в медвежий рынок


🖤Я понимаю, многие поставили ноду, но считают, что получили маленький дроп. Однако вы упускаете важный факт: технологии развиваются, всё идет к автоматизации. Сейчас время,** когда 99 проектов из 100 раздадут нормальные награды не всем**, а меньшинству — тем, кто хитрее и умнее. Они и зарабатывают, а те, кто относится к делу недобросовестно, получают результат, которого заслуживают — **Так всегда было и будет**


— __Конечно, бывают случаи лайфченджа, как с **Aptos** или **Mantra**, где нужно было просто зарегистрироваться, поставить ноду на пару дней и получить от $3K до $55K на аккаунт. **Но это действительно везение?**__

**
**🖤Как может повезти человеку, который дошел до установки ноды **Aptos**? **Много ли таких счастливчиков**? Мне, как минимум, пришлось пройти долгий путь — от **ICO (Coinlist и NFT)** до ретроактивностей, пережить потери в сотни тысяч долларов на бычьем рынке и установке множества нод. Чтобы дожить до таких проектов, пришлось пройти серьезные ментальные качели — подробно я рассказывал [**здесь**](https://teletype.in/@cryptoforto/crypto_life)


🖤То же самое и с [**Mantra**](https://t.me/cryptoforto/1677). Кто мог знать, что они раздадут дроп всем, **кто подавал заявку?** Кто знал, что проект вырастет в десятки раз и принесет более $50 000 за ноду? Никто. В этом и суть. Люди просто делали свое дело, не задумываясь наперед


__— Они искали ту самую дверь — **и, открывая одну за другой, в какой-то момент нашли именно ту, которая привела их к **__[**__желаемому__**](https://t.me/cryptoforto/2208)

**
**🖤Как ни странно это ни звучало, но большинство нодеров, которых я знаю, видел или с кем знаком, рано или поздно начинают тянуться к изучению программирования и это отличное решение. Эти знания помогают автоматизировать процессы в других направлениях (**тестнеты, майннеты и т. д.**), а также упрощают работу с нодами, будь то участие в валидировании, создание полезных фич для проектов или помощь другим нодранам в дискорде. **За такую активность проекты могут щедро отблагодарить.**


— __У тебя всегда будет время заняться чем-то полезным, что принесет плоды в будущем. Возможно, не в нодах или ретроактивностях, но технические знания, особенно владение языками программирования, сейчас очень ценятся. **Это ресурс, который всегда будет востребован — важно просто это осознать**__


🖤**Посмотрите на инфополе**
🖤Везде щилят сервисы по установке нод, которые делают это за вас. Это лишь подтверждает, что многим проще переплатить огромные суммы, ничего не делать и просто застолбить себе место в сфере нод, чем разбираться в процессе самостоятельно. И это уже считается нормой, ведь у большинства просто нет времени или желания вникать в ""**Нодраннество**""...
[
](http://www.cryptoforto.top/)😶 [CryptoFortochka](https://t.me/cryptoforto)  l  [Chat](https://t.me/+5M-mOEH4gb42NDky)  l  [Navigation](https://t.me/cryptoforto/1796)  l  [Youtube](https://www.youtube.com/@cryptoforto)  l  [Retroactive](http://www.cryptoforto.top/)",https://t.me/c/1254398467/2212
2025-03-16 22:35:40,Heavy Crypto,"**Отрабатываем Hemi в майннете**

[**Hemi**](https://x.com/hemi_xyz)** —** это модульный L2, обеспечивающий масштабирование, безопасность и совместимость, на базе Bitcoin и Ethereum.

💳 Проект [**собрал**](https://cryptorank.io/ico/hemi-network#funding-rounds)** **15млн$** **инвестиций от Binance Labs, Breyer Capital, Big Brain. 

📖 **Что нужно делать?**

▪️Делаем [**бридж**](https://app.hemi.xyz/en/tunnel/)
▪️Кидаем токены в [**стейкинг**](https://app.hemi.xyz/en/stake/)
▪️Минтим [**NFT**](https://www.mintpark.io/launchpad/b6e4e43b-43b1-496a-ab1f-e2df235ecf14)
▪️Делаем свапы на: [**Atlas**](https://atlasdex.finance/), [**DODO**](https://dodoex.io/en), [**Oku**](https://oku.trade/?inputChain=ethereum&inToken=0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48&inTokenAmount=%220%22)**, **[**Uniswap**](https://app.uniswap.org/)
▪️Используем Yield: [ **Echo Protocol**](https://www.echo-protocol.xyz/)**, **[**DeSyn**](https://www.desyn.io/)
▪️Все активности можно чекнуть в их [**статье**](https://hemi.xyz/blog/a-guide-to-hemis-mainnet/)

Шилла особо не было на отработку майннета, у проекта топовые фонды на борту, поэтому смарт крутить.

[**Канал**](https://t.me/heavycryptos)** | **[**Чат**](https://t.me/heavycryptochat)** | **[**Админ**](https://t.me/olejk_2k)",https://t.me/c/1386987265/9813
2025-03-16 22:27:25,Coin Metrika,"Но глобальные перспективы у криптовалют отличные. Будет печать бабла, потихоньку мы движемся к этому событию (не думаю что раньше осени), вливание ликвидности в рисковые активы, **иксы** на инструментах и не по 2 икса... Будут разрешено с большой долей вероятности американцам участие в airdrop и ico, поскольку потери США от налоговых поступлений оцениваются в диапазоне от 418 миллионов до 1,1 миллиарда долларов, если учитывать выборку из 50 проектов, которые раздавали дропы. А на текущий момент согласно исследованиям Dragonfly от 22 до 24% активных криптоадресов, принадлежат жителям США. Так что и airdrop наряду с токенсейлами хоронить тоже не стоит...

Но спекулянты должны подождать... Кто дождется, тот заработает. Именно поэтому в крипте не может быть речи про заемные деньги, кредиты и тому подобное. 

[Канал](https://t.me/coinmetrika) | [Chat](https://t.me/betpolcadot) | [Youtube](https://www.youtube.com/c/CoinMetrika) | [Twitter](https://twitter.com/coinmetrika) I [Proxy](https://proxys.io/?refid=129373)",https://t.me/c/1262361397/4174
