Timestamp,Channel,Message Text,Message Link
2025-03-15 14:07:07,IDO research,"**Eclipse анонсировали новые бусты

**В Turbo Tap теперь случайным образом [вознаграждают](https://x.com/EclipseFND/status/1899911235849867680) молоком активных пользователей в тапалке, за которое можно активировать бусты.

***️⃣**Нужно собрать 8 единиц молока, чтобы открыть один из двух бустов:
`•` Удобрение: увеличивает кол-во тапов в 3 раза на 30 секунд;
`•` Газонокосилка: автоматические тапы в течение 120 секунд.

Можно собирать молоко быстрее. Если вы соберете 100 млн тапов всеми онлайн-игроками, то активируется Community Pot для всех пользователей.

Очень странно, что только сейчас появилось это обновление, т.к. команда еще в феврале говорила, что совсем скоро тапалка закроется, были слухи, что это произойдет уже 13 марта, но видимо - всё продолжается.

[**IDO research**](https://t.me/idoresearch) | [**Chat**](https://t.me/IDOresearch_chat) | [**NFD**](https://twitter.com/NFD_tools) | [**Combine - софт для мультиаккеров**](https://nfd.gg/)",https://t.me/c/1216571339/4079
2025-03-13 16:15:27,Tom Capital,"Когда эти ребята дружно стояли улыбались на церемонии инаугурации Трампа, они просто ещё не знали  Потери миллиардеров после инаугурации президента США  Маск минус 150 ярдов за 2 месяца",https://t.me/c/1408008774/7120
2025-03-12 15:22:14,CapyCrypto,"**Выжимка активностей, новостей и апдейтов за последние несколько дней**  🟦Участвуем в [**Galxe-кампании**](https://app.galxe.com/quest/nufflelabs/GCpbmt1LU3) от Nuffle ([**13млн$, backed by Electric Capital**](https://cryptorank.io/ru/ico/nuffle-labs#funding-rounds)) и забираем [**NFT**](https://app.galxe.com/quest/nufflelabs/GCpbmt1LU3) с потенциалом на дроп.  🟦Выполняем квесты от [**BOB на Layer3**](https://app.layer3.xyz/launchpad/bob) (пул 750к токенов OP). Задания простые, поэтому не ",https://t.me/c/1731045293/1453
2025-03-08 16:19:14,Tom Capital,"Плохие новости: дамп

Хорошие новости: дамп

Нейтральные новости: дамп

Ощущение, что даже в том случае, если бы Трамп прямо на конференции достал телефон и на камеру открыл бы пару лонгов с плечами, рынок всё равно отреагировал бы падением 

Тушите свет",https://t.me/c/1408008774/7062
2025-03-06 22:13:55,Герман на блокчейне 🇪🇹,"Создан закрытый клуб, где будет публиковаться инсайдерская информация по рынку.

Тезисно: в канале будут новости, которых нет в официальном доступе, обзоры монет, общение с единомышленниками и юмор.

До завтрашнего дня доступ в канал абсолютно бесплатный. Все, кто успеет подписаться - останутся бесплатно навсегда. Кто захочет подписаться уже после 6-го марта, смогут сделать это только платно.

Ссылка для входа — https://t.me/+9f3jUkhLtf0xMmEy

#реклама",https://t.me/c/1293287526/20826
2025-03-04 00:56:57,Tom Capital,"⚡️TRUMP: TARIFFS ON CANADA, MEXICO TO START TUESDAY  Трамп не сделал никакого значимого инвестиционного заявления, зато опять вводит тарифы   Весь вчерашний памп в крипте отыгран назад   У меня одного уже усталость от Трампа и этих бесконечных манипуляций на крипторынке?",https://t.me/c/1408008774/7021
2025-03-02 18:31:58,Don | Invest Blog,"🟢 В ретро настроение отражает рынок, у многих уныние и негатив от неоправданных ожиданий последних дропов. Так что сейчас можно делать?   🟢[**Hyperlane**](https://t.me/don_invest/3853): с Legion убрали инфу о сейле, судя по всему они выложили раньше времени не обговорив все условия. Вероятно еще есть смысл заюзать мост, я например пользуюсь [zeroway.io](https://zeroway.io/) чтобы отправить немного ETH между EVM сетями.   🟢[**Abstract**](https://www.abs.xyz/): XP раздают рандомно, больше все",https://t.me/c/1423540718/4297
2025-02-28 12:02:29,Crypto Fortochka,"#NewsForto 28.02.2025  #Babylon 🔘 Получилось! Ранее мы делали активности в тестнете и стейкали $BTC, и вот недавно команда дропнула [**регистрацию на дроп**](https://t.me/cryptoforto/2130), где только холдеры** NFT Pioneer Pass (были сбриты)**, но команда поменяла критерии, и каждый холдер **NFT** может претендовать на дроп без стейкинга. [**Ссылка на регистрацию**](https://airdrop.babylon.foundation/)  #Orochi 🔘 Это проверяемая инфраструктура данных. Вчера [**собрали**](https://cointelegra",https://t.me/c/1254398467/2141
2025-02-28 11:31:41,"CRYPTON | Биткоин, DeFi, WEB 3","👇 **BTC < $80 000** #Обсуждаемое   Откупил дно 25 февраля? Поздравляю, получай второе в подарок 🤝 А если серьёзно, то крипторынок вновь падает:  **$BTC**** ~ $80 000, ****$ETH**** ~ $2100, ****$TON**** ~ $3,17**. Из-за чего это происходит?  На фоне нестабильности в мировой экономике и политике, **индекс S&P500 за последние 5 дней **[**упал**](https://www.tradingview.com/symbols/SPX/)** на 4%**, что очень много для него.   __Крипта ходит за американской фондой, поэтому **мы вместе с ней погр",https://t.me/c/1307909848/14943
2025-02-27 22:42:54,SWOP TOKY | CRYPTO MEDIA,__Пополнили пул ____$MON____ в кране и увеличили реф награды за друзей ____@monadtoken_bot__,https://t.me/c/1381331570/4531
